Other_parc	spect_clust_num	other_parc_num	spect_clust_label	other_parc_label	dice
pv_deep	1	2	Periventricular	Periventricular	0.367384055774477
pv_deep	1	1	Periventricular	Deep	0
pv_deep	2	2	Posterior	Periventricular	0.54249649368864
pv_deep	2	1	Posterior	Deep	0.244893452578116
pv_deep	3	2	Anterior	Periventricular	0.303787616741612
pv_deep	3	1	Anterior	Deep	0.755263270273733
lobar	1	3	Periventricular	Temporal	0.307226308957161
lobar	1	1	Periventricular	Frontal	0.1482988425114
lobar	1	5	Periventricular	Parietal	0.114949815108294
lobar	1	9	Periventricular	Occipital	0.0709130844053969
lobar	2	3	Posterior	Temporal	0.233055885850178
lobar	2	1	Posterior	Frontal	0.290510485066723
lobar	2	5	Posterior	Parietal	0.373208457499645
lobar	2	9	Posterior	Occipital	0.154042988741044
lobar	3	3	Anterior	Temporal	0.0563418991342586
lobar	3	1	Anterior	Frontal	0.664075743167817
lobar	3	5	Anterior	Parietal	0.398721451770892
lobar	3	9	Anterior	Occipital	0.00731763091699062
vascular	1	3	Periventricular	MCA	0.0779691749773346
vascular	1	5	Periventricular	PCA	0.271996215704825
vascular	1	1	Periventricular	ACA	0.156189167525478
vascular	1	0	Periventricular	OOB	0.03804127883448
vascular	1	9	Periventricular	Ventricules	0.336472880805456
vascular	2	3	Posterior	MCA	0.371680534103931
vascular	2	5	Posterior	PCA	0.261713898611268
vascular	2	1	Posterior	ACA	0.303547373147732
vascular	2	0	Posterior	OOB	0
vascular	2	9	Posterior	Ventricules	0.0352880124545926
vascular	3	3	Anterior	MCA	0.684637818239142
vascular	3	5	Anterior	PCA	0.00988700564971752
vascular	3	1	Anterior	ACA	0.385641575140638
vascular	3	0	Anterior	OOB	0
vascular	3	9	Anterior	Ventricules	0.000153716086388441
