Other_parc	spect_clust_num	other_parc_num	spect_clust_label	other_parc_label	dice
sev1	1	2	Periventricular	Posterior	0.0545430706699882
sev1	1	1	Periventricular	Periventricular	0.944021495745634
sev1	1	3	Periventricular	Anterior	0
sev1	2	2	Posterior	Posterior	0.77919863597613
sev1	2	1	Posterior	Periventricular	0.00980277745361186
sev1	2	3	Posterior	Anterior	0.214863258026159
sev1	3	2	Anterior	Posterior	0.0738329408505333
sev1	3	1	Anterior	Periventricular	0
sev1	3	3	Anterior	Anterior	0.880172060630889
sev2	2	2	Posterior	Posterior	0.792480588475685
sev2	2	1	Posterior	Periventricular	0.00173761946133797
sev2	2	3	Posterior	Anterior	0.174382622413689
sev2	1	2	Periventricular	Posterior	0.123309370049957
sev2	1	1	Periventricular	Periventricular	0.872673119880864
sev2	1	3	Periventricular	Anterior	0
sev2	3	2	Anterior	Posterior	0.0770740643810521
sev2	3	1	Anterior	Periventricular	0
sev2	3	3	Anterior	Anterior	0.89626216077829
sev3	1	1	Periventricular	Periventricular	0.965802657373121
sev3	1	2	Periventricular	Posterior	0.0263420474955099
sev3	1	3	Periventricular	Anterior	0
sev3	2	1	Posterior	Periventricular	0.00540715907862009
sev3	2	2	Posterior	Posterior	0.910478266793841
sev3	2	3	Posterior	Anterior	0.0318257061996049
sev3	3	1	Anterior	Periventricular	0
sev3	3	2	Anterior	Posterior	0.0860893966726799
sev3	3	3	Anterior	Anterior	0.951801707977505
