Other_parc	spect_clust_num	other_parc_num	spect_clust_label	other_parc_label	dice
Male	1	1	Periventricular	Periventricular	0.975704149645238
Male	1	2	Periventricular	Posterior	0.0214064005137536
Male	1	3	Periventricular	Anterior	0
Male	2	1	Posterior	Periventricular	0.00283687943262411
Male	2	2	Posterior	Posterior	0.920834235404489
Male	2	3	Posterior	Anterior	0.0523644135720011
Male	3	1	Anterior	Periventricular	0
Male	3	2	Anterior	Posterior	0.0525252525252525
Male	3	3	Anterior	Anterior	0.958424877471692
Female	1	1	Periventricular	Periventricular	0.954582319545823
Female	1	2	Periventricular	Posterior	0.00668672684720829
Female	1	3	Periventricular	Anterior	0
Female	2	1	Posterior	Periventricular	0.0410929887735649
Female	2	2	Posterior	Posterior	0.908699844248313
Female	2	3	Posterior	Anterior	0.0598977355734113
Female	3	1	Anterior	Periventricular	0
Female	3	2	Anterior	Posterior	0.0462606837606838
Female	3	3	Anterior	Anterior	0.958734581813711
