wmh_var	clust	categ	n_dx	n_hc	beta_groupHC	pval_groupHC	pval_fdr	pval_nsig_05	pval_fdr_nsig_05
WMHvol	c1	ischemic_heart_disease	2283	8528	0.181101545632357	6.92284371970388e-17	3.50468963310009e-16	TRUE	TRUE
WMHvol	c2	ischemic_heart_disease	2283	8528	0.213308384352562	2.2987374627989e-25	1.86197734486711e-24	TRUE	TRUE
WMHvol	c3	ischemic_heart_disease	2283	8528	0.281872433469136	1.09199873940933e-35	2.2112974473039e-34	TRUE	TRUE
stage	c1	ischemic_heart_disease	2283	8528	0.172729735690012	2.84789755695193e-12	1.00295522657872e-11	TRUE	TRUE
stage	c2	ischemic_heart_disease	2283	8528	0.146760603476701	3.18163517024656e-09	7.17302840009968e-09	TRUE	TRUE
stage	c3	ischemic_heart_disease	2283	8528	0.199582320540422	7.70348895656231e-17	3.65614893823111e-16	TRUE	TRUE
FA	c1	ischemic_heart_disease	2283	8528	0.153607218091944	6.46984297770853e-10	1.80709407308411e-09	TRUE	TRUE
FA	c2	ischemic_heart_disease	2283	8528	0.117806326917992	2.69323267701024e-06	5.32077675214218e-06	TRUE	TRUE
FA	c3	ischemic_heart_disease	2283	8528	0.180558822441745	6.76850173802053e-14	2.57289735192652e-13	TRUE	TRUE
MD	c1	ischemic_heart_disease	2283	8528	0.170590719155068	9.43746722733044e-12	3.18514518922402e-11	TRUE	TRUE
MD	c2	ischemic_heart_disease	2283	8528	0.159443522229331	8.65531360518409e-11	2.50385857864254e-10	TRUE	TRUE
MD	c3	ischemic_heart_disease	2283	8528	0.213092073624673	5.05277192292055e-19	3.1482655827428e-18	TRUE	TRUE
ICVF	c1	ischemic_heart_disease	2283	8528	0.145682599232799	1.41917906567548e-09	3.70817755870045e-09	TRUE	TRUE
ICVF	c2	ischemic_heart_disease	2283	8528	0.112972849253709	6.15382369446802e-06	1.15920864942305e-05	TRUE	TRUE
ICVF	c3	ischemic_heart_disease	2283	8528	0.199979838012272	8.12477541829135e-17	3.65614893823111e-16	TRUE	TRUE
ISOVF	c1	ischemic_heart_disease	2283	8528	0.105576240957377	2.64592113799505e-05	4.76265804839109e-05	TRUE	TRUE
ISOVF	c2	ischemic_heart_disease	2283	8528	0.114098639719594	4.74149197622111e-06	9.14430595414072e-06	TRUE	TRUE
ISOVF	c3	ischemic_heart_disease	2283	8528	0.163689798997836	1.76161543399156e-11	5.70763400613265e-11	TRUE	TRUE
OD	c1	ischemic_heart_disease	2283	8528	0.0634889169667881	0.00859350130787262	0.0142055837946466	TRUE	TRUE
OD	c2	ischemic_heart_disease	2283	8528	0.0253834693716205	0.308785372730311	0.373307689420227	FALSE	FALSE
OD	c3	ischemic_heart_disease	2283	8528	0.123025893666093	7.34196502583706e-07	1.52486965921231e-06	TRUE	TRUE
T2star	c1	ischemic_heart_disease	2283	8528	-0.04446681448962	0.0717413950919277	0.0952631639745269	FALSE	FALSE
T2star	c2	ischemic_heart_disease	2283	8528	0.000974110487909952	0.968804141261528	0.987380825620147	FALSE	FALSE
T2star	c3	ischemic_heart_disease	2283	8528	0.0627144400347432	0.00988083288702455	0.0156930875264507	TRUE	TRUE
QSM	c1	ischemic_heart_disease	2283	8528	0.150469748505537	2.42514565167608e-09	5.95200061620518e-09	TRUE	TRUE
QSM	c2	ischemic_heart_disease	2283	8528	0.153567792848889	1.08398496504697e-09	2.92675940562681e-09	TRUE	TRUE
QSM	c3	ischemic_heart_disease	2283	8528	0.11210706221057	8.71309464923861e-06	1.60400151497347e-05	TRUE	TRUE
WMHvol	c1	stroke	526	8528	0.355336218595051	1.65603391283802e-19	1.11782289116566e-18	TRUE	TRUE
WMHvol	c2	stroke	526	8528	0.461006229804425	1.24395460172437e-34	1.67933871232789e-33	TRUE	TRUE
WMHvol	c3	stroke	526	8528	0.707812831870788	7.98576834623642e-67	6.4684723604515e-65	TRUE	TRUE
stage	c1	stroke	526	8528	0.393241241130939	1.18377656390435e-18	6.84899297687518e-18	TRUE	TRUE
stage	c2	stroke	526	8528	0.391796373191565	1.89989853551511e-18	1.02594520917816e-17	TRUE	TRUE
stage	c3	stroke	526	8528	0.543980293574641	3.56886014055847e-36	9.63592237950787e-35	TRUE	TRUE
FA	c1	stroke	526	8528	0.270109214017197	1.82148726929909e-09	4.61063965041331e-09	TRUE	TRUE
FA	c2	stroke	526	8528	0.270098933845406	2.49837062902439e-09	5.95200061620518e-09	TRUE	TRUE
FA	c3	stroke	526	8528	0.461713482039797	3.41996048153118e-26	3.46270998755032e-25	TRUE	TRUE
MD	c1	stroke	526	8528	0.300204292991026	3.04603887314661e-11	9.48958264326443e-11	TRUE	TRUE
MD	c2	stroke	526	8528	0.465159991066528	1.00168247482025e-25	9.01514227338225e-25	TRUE	TRUE
MD	c3	stroke	526	8528	0.603522222153042	3.14048288916691e-44	1.2718955701126e-42	TRUE	TRUE
ICVF	c1	stroke	526	8528	0.419697564661574	4.47398222628675e-22	3.29447782117479e-21	TRUE	TRUE
ICVF	c2	stroke	526	8528	0.353289288328451	4.53944816703955e-15	1.83847650765102e-14	TRUE	TRUE
ICVF	c3	stroke	526	8528	0.534632971745905	8.00844058847997e-35	1.29736737533375e-33	TRUE	TRUE
