WMH_var	clust	n_abneg	n_abplus	coef_abplus	pval_abplus	pval_abplus_fdr
WMHvol	c1	73	42	0.396722786749726	0.0270808548858991	0.0487455387946184
WMHvol	c2	73	42	0.602615116180922	0.000124296674928103	0.000559335037176466
WMHvol	c3	73	42	0.729179965502324	9.88578413708758e-06	0.000177944114467577
FA	c1	70	42	0.327644685190293	0.00460711008869712	0.0118468545137926
FA	c2	70	42	-0.0499588726620753	0.743883795054655	0.743883795054655
FA	c3	72	42	0.10890091787725	0.590200903182971	0.660573628784074
MD	c1	70	42	0.668921140266948	0.000114610155717472	0.000559335037176466
MD	c2	70	42	0.815048982080433	4.50048373187824e-05	0.000405043535869041
MD	c3	72	42	0.596252669379675	0.00191170372023747	0.00573511116071241
ICVF	c1	70	42	0.62090597441343	0.00123283257183811	0.00443819725861719
ICVF	c2	70	42	0.301210843320984	0.0445757765175096	0.0668636647762645
ICVF	c3	72	42	0.3200575838005	0.11056867743986	0.142159728136963
ISOVF	c1	70	42	0.331724147696178	0.0177784760865337	0.0400015711947008
ISOVF	c2	70	42	0.437248240630351	0.0341587138128182	0.055896077148248
ISOVF	c3	72	42	0.35816011166182	0.0870619594894679	0.120547328523879
OD	c1	70	42	0.124219524357772	0.534021611181141	0.64082593341737
OD	c2	70	42	0.440330851069824	0.0246975716597133	0.0487455387946184
OD	c3	72	42	0.103100513119299	0.623875093851626	0.660573628784074
