WMH_var	 clust	 n_hc	 n_mci	 n_ad	 coef_mci           	 coef_ad            	 pval_mci            	 pval_ad             	 pval_mci_fdr       	 pval_ad_fdr
WMHvol 	 c1   	  125	    66	   21	 0.15421736646137   	 0.523840310320661  	 0.258954446525232   	 0.013835053217465   	 0.388431669787848  	 0.0311288697392962
WMHvol 	 c2   	  125	    66	   21	 0.263904918721351  	 0.730684858186189  	 0.0278195596186046  	 0.000102825918823853	 0.0715360104478403 	 0.000925433269414674
WMHvol 	 c3   	  125	    66	   21	 0.229253224586253  	 0.706539462447703  	 0.0735482366743927  	 0.000429672041598017	 0.147096473348785  	 0.0025780322495881
FA     	 c1   	  118	    64	   21	 0.136617019129889  	 0.407049248267211  	 0.0981037390366699  	 0.00134325583619979 	 0.163762905822188  	 0.00483572101031925
FA     	 c2   	  118	    65	   21	 -0.117977526340491 	 0.00828308467048055	 0.288026513809853   	 0.961117145012814   	 0.397890555539714  	 0.961117145012814
FA     	 c3   	  122	    66	   21	 0.0889727135864323 	 -0.1361041194615   	 0.556734799303083   	 0.560028297736828   	 0.589483905144441  	 0.630031834953931
MD     	 c1   	  118	    64	   21	 0.472384909941851  	 0.783064892361961  	 0.000137399269356368	 3.50092735088391e-05	 0.00247318684841463	 0.000630166923159104
MD     	 c2   	  118	    65	   21	 0.465119985334594  	 0.755533131549924  	 0.00231505937859382 	 0.00125927538883307 	 0.0208355344073444 	 0.00483572101031925
MD     	 c3   	  122	    66	   21	 0.368637033578582  	 0.436693123058045  	 0.0110040066570441  	 0.0501283590202524  	 0.0413573937014862 	 0.100256718040505
ICVF   	 c1   	  118	    64	   21	 0.367128557649835  	 0.565956917564     	 0.0114881649170795  	 0.010497766002023   	 0.0413573937014862 	 0.0269942554337734
ICVF   	 c2   	  118	    65	   21	 0.181471726079414  	 0.288086683586218  	 0.100077331335781   	 0.0885034864421574  	 0.163762905822188  	 0.132755229663236
ICVF   	 c3   	  122	    66	   21	 0.13637846306782   	 0.169719324890496  	 0.359648390959354   	 0.459745164459769   	 0.431578069151225  	 0.591100925733988
ISOVF  	 c1   	  118	    64	   21	 0.220479964938328  	 0.436951765765387  	 0.0235543007731146  	 0.0033376461256183  	 0.0706629023193437 	 0.0100129383768549
ISOVF  	 c2   	  118	    65	   21	 0.306674913722658  	 0.438611387667579  	 0.050466960607422   	 0.0677221648658472  	 0.1135506613667    	 0.121899896758525
ISOVF  	 c3   	  122	    66	   21	 0.109741539560326  	 -0.157658829656338 	 0.484316429232354   	 0.514795417248071   	 0.544855982886399  	 0.617754500697686
OD     	 c1   	  118	    64	   21	 0.152403684039958  	 0.0780500743010275 	 0.309470432086445   	 0.732117394945112   	 0.397890555539714  	 0.775183124059531
OD     	 c2   	  118	    65	   21	 0.372855654234929  	 0.381925867883015  	 0.00989417182584535 	 0.083202362140568   	 0.0413573937014862 	 0.132755229663236
OD     	 c3   	  122	    66	   21	 -0.0458544902184227	 0.223856244610529  	 0.768410762577571   	 0.351868361507701   	 0.768410762577571  	 0.48720234670297
