WMH_var	clust	n_hc	n_mci	n_ad	coef_mci	coef_ad	pval_mci	pval_ad	pval_mci_fdr	pval_ad_fdr
WMHvol	c1	125	66	21	-0.0894581152125333	-0.223226913181237	0.744681727407555	0.595035358114246	0.744681727407555	0.99244297706183
WMHvol	c2	125	66	21	-0.467360780855054	-0.0502079434165666	0.0506770763554118	0.890245360226157	0.304062458132471	0.99244297706183
WMHvol	c3	125	66	21	-0.371279900366736	-0.188471630877215	0.147783185422003	0.629942284296527	0.346891216411853	0.99244297706183
FA	c1	118	64	21	-0.3427417756355	-0.0439384574687808	0.0380374958685804	0.858953533385065	0.304062458132471	0.99244297706183
FA	c2	118	65	21	-0.318613026116411	0.086706499751942	0.154173873960824	0.797071355964996	0.346891216411853	0.99244297706183
FA	c3	122	66	21	-0.473824407739473	-0.141023871818055	0.119826847302933	0.760443679872438	0.346891216411853	0.99244297706183
MD	c1	118	64	21	-0.28141263131902	0.276064021339451	0.24961703493722	0.452468816818537	0.378611837416463	0.99244297706183
MD	c2	118	65	21	-0.365536041198361	-0.0311500658175284	0.230376707498131	0.946000922695812	0.378611837416463	0.99244297706183
MD	c3	122	66	21	-0.429636908579961	-0.251537619624	0.137907999612776	0.567504412522786	0.346891216411853	0.99244297706183
ICVF	c1	118	64	21	-0.153084022968569	0.587434278855464	0.596421060151859	0.177715313402506	0.670973692670841	0.99244297706183
ICVF	c2	118	65	21	-0.328171115740721	0.135435979796394	0.138605605058497	0.685235109823182	0.346891216411853	0.99244297706183
ICVF	c3	122	66	21	-0.361633798349376	0.00431428548443199	0.227506863466349	0.99244297706183	0.378611837416463	0.99244297706183
ISOVF	c1	118	64	21	-0.177916251421668	0.0821863504101379	0.36151797855449	0.779174095072103	0.464808829570059	0.99244297706183
ISOVF	c2	118	65	21	-0.360654527653163	-0.32836895651389	0.252407891610975	0.490191257927765	0.378611837416463	0.99244297706183
ISOVF	c3	122	66	21	-0.851665638977309	-0.0190115684239636	0.00657961725159276	0.967932165747334	0.11843311052867	0.99244297706183
OD	c1	118	64	21	0.284695106122528	0.613038627293119	0.34424883750167	0.176415068510723	0.464808829570059	0.99244297706183
OD	c2	118	65	21	0.23363791643578	0.453351875175998	0.419315988450518	0.30020500913477	0.503179186140622	0.99244297706183
OD	c3	122	66	21	0.108201494234436	0.0419177731401591	0.730678741783474	0.93020820202535	0.744681727407555	0.99244297706183
