wmh_var	clust	categ	n_dx	n_hc	beta	pval	pval_fdr	pval_nsig_05	pval_fdr_nsig_05
WMHvol	c1	ischemic_heart_disease	2414	10629	0.0300653908910032	0.466637301053011	0.923618249562343	FALSE	FALSE
WMHvol	c2	ischemic_heart_disease	2414	10629	0.0130255605692379	0.738724517317751	0.973049392649649	FALSE	FALSE
WMHvol	c3	ischemic_heart_disease	2414	10629	0.0390871063220065	0.362592874921586	0.923618249562343	FALSE	FALSE
stage	c1	ischemic_heart_disease	2414	10629	-0.0594746616305396	0.206474165471951	0.836820353121909	FALSE	FALSE
stage	c2	ischemic_heart_disease	2414	10629	0.0446089508561071	0.344269205942942	0.923618249562343	FALSE	FALSE
stage	c3	ischemic_heart_disease	2414	10629	0.00680173174051236	0.881320669674421	0.973049392649649	FALSE	FALSE
FA	c1	ischemic_heart_disease	2414	10629	-0.0377573202493165	0.424226917405455	0.923618249562343	FALSE	FALSE
FA	c2	ischemic_heart_disease	2414	10629	0.0890449685854375	0.0624418306148097	0.714738419424619	FALSE	FALSE
FA	c3	ischemic_heart_disease	2414	10629	0.0139065715126141	0.761654642494616	0.973049392649649	FALSE	FALSE
MD	c1	ischemic_heart_disease	2414	10629	-0.0939829726679928	0.0485267309194437	0.714738419424619	TRUE	FALSE
MD	c2	ischemic_heart_disease	2414	10629	0.0221408283848363	0.635981240912155	0.971971330450653	FALSE	FALSE
MD	c3	ischemic_heart_disease	2414	10629	0.0029518284554015	0.948276334571638	0.973049392649649	FALSE	FALSE
ICVF	c1	ischemic_heart_disease	2414	10629	0.0172449645073928	0.706612413787266	0.973049392649649	FALSE	FALSE
ICVF	c2	ischemic_heart_disease	2414	10629	0.114266653079234	0.0162794482033629	0.714738419424619	TRUE	FALSE
ICVF	c3	ischemic_heart_disease	2414	10629	0.0224100178688703	0.623770212400683	0.971971330450653	FALSE	FALSE
ISOVF	c1	ischemic_heart_disease	2414	10629	-0.099963147691547	0.0365991286210735	0.714738419424619	TRUE	FALSE
ISOVF	c2	ischemic_heart_disease	2414	10629	-0.069241731862671	0.144812834845648	0.781989308166498	FALSE	FALSE
ISOVF	c3	ischemic_heart_disease	2414	10629	-0.037920133998051	0.413262267303229	0.923618249562343	FALSE	FALSE
OD	c1	ischemic_heart_disease	2414	10629	0.0549321557919351	0.232336088221975	0.896153483141903	FALSE	FALSE
OD	c2	ischemic_heart_disease	2414	10629	-0.0432399347369344	0.362275037167688	0.923618249562343	FALSE	FALSE
OD	c3	ischemic_heart_disease	2414	10629	0.00343758622184623	0.94209355985693	0.973049392649649	FALSE	FALSE
T2star	c1	ischemic_heart_disease	2414	10629	0.0230047279705866	0.625015056498857	0.971971330450653	FALSE	FALSE
T2star	c2	ischemic_heart_disease	2414	10629	0.0377497506350131	0.426389822948754	0.923618249562343	FALSE	FALSE
T2star	c3	ischemic_heart_disease	2414	10629	0.0233056309355434	0.614668489709397	0.971971330450653	FALSE	FALSE
QSM	c1	ischemic_heart_disease	2414	10629	-0.0820786853750273	0.0872202472706049	0.714738419424619	FALSE	FALSE
