WMH_var	clust	n_abneg	n_abplus	coef_abplus	pval_abplus	pval_abplus_fdr
WMHvol	c1	73	42	0.361600521438432	0.0345343699016416	0.0565107871117772
WMHvol	c2	73	42	0.600819305890936	0.000127777800368055	0.000575000101656246
WMHvol	c3	73	42	0.695715273375239	2.83657696404226e-05	0.000287516575933953
FA	c1	70	42	0.3234780363759	0.00506178749058419	0.0151853624717526
FA	c2	70	42	-0.0419650408117898	0.788261575038614	0.834629902982062
FA	c3	72	42	0.0231031483027258	0.910465849985196	0.910465849985196
MD	c1	70	42	0.680456772479264	5.53622493382975e-05	0.000332173496029785
MD	c2	70	42	0.831785797057775	3.19462862148837e-05	0.000287516575933953
MD	c3	72	42	0.504928305367037	0.00915070044195263	0.0235303725650211
ICVF	c1	70	42	0.62990832476687	0.00101777825101425	0.00366400170365129
ICVF	c2	70	42	0.309319505266248	0.0386291525973567	0.0579437288960351
ICVF	c3	72	42	0.254500448264536	0.211365710652572	0.271755913696164
ISOVF	c1	70	42	0.317604046989518	0.0171632575458033	0.0375732124294741
ISOVF	c2	70	42	0.454977593434541	0.0285551429760575	0.0513992573569035
ISOVF	c3	72	42	0.354664778350557	0.0908800126610513	0.125833863684533
OD	c1	70	42	0.151669664727923	0.449825025169851	0.539790030203821
OD	c2	70	42	0.458862673993732	0.0187866062147371	0.0375732124294741
OD	c3	72	42	0.0874125299223342	0.675006617561467	0.759382444756651
