WMH_var	 clust	 n_hc	 n_mci	 n_ad	 coef_mci          	 coef_ad             	 pval_mci            	 pval_ad             	 pval_mci_fdr       	 pval_ad_fdr
WMHvol 	 c1   	  125	    66	   21	 0.178873509045375 	 0.50102465458147    	 0.174763464651895   	 0.0146040805428017  	 0.262145196977842  	 0.0328591812213037
WMHvol 	 c2   	  125	    66	   21	 0.256331662641065 	 0.72568718282748    	 0.0326018983199823  	 0.000114592164582287	 0.0978056949599468 	 0.00103132948124058
WMHvol 	 c3   	  125	    66	   21	 0.205738306426581 	 0.692935496283573   	 0.111207858636916   	 0.000614236887842834	 0.181976495951318  	 0.003685421327057
FA     	 c1   	  118	    64	   21	 0.13362138345722  	 0.410300660393112   	 0.107439293120781   	 0.0013030281771793  	 0.181976495951318  	 0.00541389215787381
FA     	 c2   	  118	    65	   21	 -0.118697118529176	 -0.00063318423772201	 0.294856440826651   	 0.99708617978236    	 0.379101138205695  	 0.99708617978236
FA     	 c3   	  122	    66	   21	 0.015313409359213 	 -0.126801071463135  	 0.920003197697086   	 0.589953575448725   	 0.920003197697086  	 0.654070520670308
MD     	 c1   	  118	    64	   21	 0.466386547688037 	 0.762347844030194   	 0.000115909848372479	 3.66861591489903e-05	 0.00208637727070462	 0.000660350864681825
MD     	 c2   	  118	    65	   21	 0.465406159919002 	 0.744940107842956   	 0.00235365679922896 	 0.00150385893274272 	 0.0211829111930606 	 0.00541389215787381
MD     	 c3   	  122	    66	   21	 0.260132529600387 	 0.47845973904162    	 0.0761661864349522  	 0.0347684690935379  	 0.171373919478642  	 0.0695369381870759
ICVF   	 c1   	  118	    64	   21	 0.367847553438374 	 0.574033987537951   	 0.0112465202184068  	 0.00938931568051226 	 0.0506093409828305 	 0.0241439546070315
ICVF   	 c2   	  118	    65	   21	 0.185772166730097 	 0.289763604113052   	 0.0917235865901623  	 0.0860809493108969  	 0.181976495951318  	 0.130379414431192
ICVF   	 c3   	  122	    66	   21	 0.115705516836925 	 0.219698775804964   	 0.440483405108216   	 0.342555989086763   	 0.495543830746743  	 0.474308292581671
ISOVF  	 c1   	  118	    64	   21	 0.20635561778225  	 0.409559436800683   	 0.0272271818054522  	 0.00414593200038308 	 0.0978056949599468 	 0.0124377960011492
ISOVF  	 c2   	  118	    65	   21	 0.28940067803621  	 0.412546123222472   	 0.0659140329002226  	 0.0869196096207946  	 0.169493227457715  	 0.130379414431192
ISOVF  	 c3   	  122	    66	   21	 0.124425435583012 	 -0.189899909885233  	 0.427903879198558   	 0.432819238482296   	 0.495543830746743  	 0.519383086178755
OD     	 c1   	  118	    64	   21	 0.174863728854836 	 0.114205285836862   	 0.245390186632277   	 0.617733269521958   	 0.339771027644692  	 0.654070520670308
OD     	 c2   	  118	    65	   21	 0.383040683695541 	 0.407635046744129   	 0.00770540680977569 	 0.0629866091638992  	 0.0462324408586542 	 0.113375896495019
OD     	 c3   	  122	    66	   21	 0.0542425286011678	 0.193444538669104   	 0.725236124932587   	 0.416781389403682   	 0.767897073458033  	 0.519383086178755
