wmh_var	clust	categ	n_dx	n_hc	beta_groupHC	pval_groupHC	pval_fdr	pval_nsig_05	pval_fdr_nsig_05
WMHvol	c1	ischemic_heart_disease	2283	8528	0.165273154098698	1.64376978904528e-15	7.89009498741736e-15	TRUE	TRUE
WMHvol	c2	ischemic_heart_disease	2283	8528	0.215471142393358	2.40155350003033e-26	2.8818642000364e-25	TRUE	TRUE
WMHvol	c3	ischemic_heart_disease	2283	8528	0.276390378473991	1.22497982759194e-34	2.20496368966549e-33	TRUE	TRUE
FA	c1	ischemic_heart_disease	2283	8528	0.1416274904824	1.64385287761204e-08	4.0812899030368e-08	TRUE	TRUE
FA	c2	ischemic_heart_disease	2283	8528	0.105557543896456	2.4177635988286e-05	4.46356356706819e-05	TRUE	TRUE
FA	c3	ischemic_heart_disease	2283	8528	0.177160541783977	1.94659768335762e-13	8.75968957510927e-13	TRUE	TRUE
MD	c1	ischemic_heart_disease	2283	8528	0.183569519233395	2.24814184914302e-13	9.52154194931163e-13	TRUE	TRUE
MD	c2	ischemic_heart_disease	2283	8528	0.162294960704298	2.95121662229879e-11	8.85364986689637e-11	TRUE	TRUE
MD	c3	ischemic_heart_disease	2283	8528	0.213126367221617	4.49402733755314e-19	2.69641640253188e-18	TRUE	TRUE
ICVF	c1	ischemic_heart_disease	2283	8528	0.147427454325177	1.16493629994828e-09	3.10649679986207e-09	TRUE	TRUE
ICVF	c2	ischemic_heart_disease	2283	8528	0.116494852721683	2.59219360969588e-06	5.33251256851723e-06	TRUE	TRUE
ICVF	c3	ischemic_heart_disease	2283	8528	0.199873900317531	7.80735821325905e-17	4.3240753181127e-16	TRUE	TRUE
ISOVF	c1	ischemic_heart_disease	2283	8528	0.117998209820389	2.84836896766392e-06	5.60311974715409e-06	TRUE	TRUE
ISOVF	c2	ischemic_heart_disease	2283	8528	0.119149816192775	1.64424456786552e-06	3.48192967312698e-06	TRUE	TRUE
ISOVF	c3	ischemic_heart_disease	2283	8528	0.165545574130313	1.03545486043252e-11	3.24142391091918e-11	TRUE	TRUE
OD	c1	ischemic_heart_disease	2283	8528	0.0459008627838967	0.0594949065197869	0.0793265420263825	FALSE	FALSE
OD	c2	ischemic_heart_disease	2283	8528	0.0499696854632758	0.0444498906267911	0.0627527867672345	TRUE	FALSE
OD	c3	ischemic_heart_disease	2283	8528	0.154466403412953	4.30834804917858e-10	1.19308099823407e-09	TRUE	TRUE
T2star	c1	ischemic_heart_disease	2283	8528	-0.0350450325632389	0.157928379627231	0.196049022985528	FALSE	FALSE
T2star	c2	ischemic_heart_disease	2283	8528	-0.00213443547210446	0.931323114069395	0.931323114069395	FALSE	FALSE
T2star	c3	ischemic_heart_disease	2283	8528	0.0720006436398329	0.00300981808835505	0.0050396954037573	TRUE	TRUE
QSM	c1	ischemic_heart_disease	2283	8528	0.133346830218922	1.25234880364073e-07	2.81778480819165e-07	TRUE	TRUE
QSM	c2	ischemic_heart_disease	2283	8528	0.141218588194829	2.11340551068944e-08	5.07217322565465e-08	TRUE	TRUE
