x_var	y_var	coef_pearson	pval_pearson	pval_pearson_fdr
UKB - IHD	UKB - Stroke	0.851543699621789	1.3164926465543e-07	3.68617941035203e-06
UKB - IHD	UKB - dementia	0.237241646718053	0.26432510879795	0.435359002726035
UKB - IHD	UKB - AD PRS	-0.523680737070821	0.00863068273012034	0.0302073895554212
UKB - IHD	UKB - CVD PRS	0.47736155260504	0.0183298610301502	0.0543113771655375
UKB - IHD	UKB - Stroke PRS	0.454374866205967	0.025710617759403	0.0641985728758533
UKB - IHD	ADNI - MCI	0.0315338366781868	0.901147334084216	0.93452316127252
UKB - IHD	ADNI - Dementia	0.353255451886147	0.150436663907316	0.300873327814632
UKB - Stroke	UKB - IHD	0.851543699621789	1.3164926465543e-07	3.68617941035203e-06
UKB - Stroke	UKB - dementia	-0.0805975728865576	0.708123453695553	0.793098268139019
UKB - Stroke	UKB - AD PRS	-0.473620045166819	0.0193969204162634	0.0543113771655375
UKB - Stroke	UKB - CVD PRS	0.606636756123108	0.00167330481866704	0.00780875582044621
UKB - Stroke	UKB - Stroke PRS	0.670952885793441	0.000332334886086183	0.00232634420260328
UKB - Stroke	ADNI - MCI	0.0101935978010978	0.967978564076571	0.967978564076571
UKB - Stroke	ADNI - Dementia	0.171961347625051	0.495046931415289	0.660062575220385
UKB - dementia	UKB - IHD	0.237241646718053	0.26432510879795	0.435359002726035
UKB - dementia	UKB - Stroke	-0.0805975728865576	0.708123453695553	0.793098268139019
UKB - dementia	UKB - AD PRS	0.260748686874192	0.218459077456203	0.382303385548355
UKB - dementia	UKB - CVD PRS	-0.153729206819695	0.473255240178239	0.660062575220385
UKB - dementia	UKB - Stroke PRS	-0.277621806220154	0.189029663173407	0.352855371257026
UKB - dementia	ADNI - MCI	0.625547321345593	0.00549429281134267	0.0219771712453707
UKB - dementia	ADNI - Dementia	0.768003890771241	0.000197657216677372	0.00211058943876884
UKB - AD PRS	UKB - IHD	-0.523680737070821	0.00863068273012034	0.0302073895554212
UKB - AD PRS	UKB - Stroke	-0.473620045166819	0.0193969204162634	0.0543113771655375
UKB - AD PRS	UKB - dementia	0.260748686874192	0.218459077456203	0.382303385548355
UKB - AD PRS	UKB - CVD PRS	-0.228886722055835	0.282010244881077	0.438682603148342
UKB - AD PRS	UKB - Stroke PRS	-0.0365049157531052	0.865524616601413	0.93210343326306
UKB - AD PRS	ADNI - MCI	0.518420195616318	0.0275136740896514	0.0641985728758533
UKB - AD PRS	ADNI - Dementia	0.389503408936946	0.110101827712309	0.237142398149589
UKB - CVD PRS	UKB - IHD	0.47736155260504	0.0183298610301502	0.0543113771655375
UKB - CVD PRS	UKB - Stroke	0.606636756123108	0.00167330481866704	0.00780875582044621
UKB - CVD PRS	UKB - dementia	-0.153729206819695	0.473255240178239	0.660062575220385
UKB - CVD PRS	UKB - AD PRS	-0.228886722055835	0.282010244881077	0.438682603148342
UKB - CVD PRS	UKB - Stroke PRS	0.618589500261074	0.00127220906944981	0.00712437078891894
UKB - CVD PRS	ADNI - MCI	-0.159287160761112	0.527822690046501	0.671774332786456
UKB - CVD PRS	ADNI - Dementia	-0.132074050815477	0.601382699050207	0.732118068408948
UKB - Stroke PRS	UKB - IHD	0.454374866205967	0.025710617759403	0.0641985728758533
UKB - Stroke PRS	UKB - Stroke	0.670952885793441	0.000332334886086183	0.00232634420260328
UKB - Stroke PRS	UKB - dementia	-0.277621806220154	0.189029663173407	0.352855371257026
UKB - Stroke PRS	UKB - AD PRS	-0.0365049157531052	0.865524616601413	0.93210343326306
UKB - Stroke PRS	UKB - CVD PRS	0.618589500261074	0.00127220906944981	0.00712437078891894
UKB - Stroke PRS	ADNI - MCI	-0.217884866917276	0.385094993491483	0.567508411461132
UKB - Stroke PRS	ADNI - Dementia	0.10434008593157	0.680321129647684	0.793098268139019
ADNI - MCI	UKB - IHD	0.0315338366781868	0.901147334084216	0.93452316127252
ADNI - MCI	UKB - Stroke	0.0101935978010978	0.967978564076571	0.967978564076571
ADNI - MCI	UKB - dementia	0.625547321345593	0.00549429281134267	0.0219771712453707
ADNI - MCI	UKB - AD PRS	0.518420195616318	0.0275136740896514	0.0641985728758533
ADNI - MCI	UKB - CVD PRS	-0.159287160761112	0.527822690046501	0.671774332786456
ADNI - MCI	UKB - Stroke PRS	-0.217884866917276	0.385094993491483	0.567508411461132
ADNI - MCI	ADNI - Dementia	0.763623161628952	0.000226134582725233	0.00211058943876884
ADNI - Dementia	UKB - IHD	0.353255451886147	0.150436663907316	0.300873327814632
ADNI - Dementia	UKB - Stroke	0.171961347625051	0.495046931415289	0.660062575220385
ADNI - Dementia	UKB - dementia	0.768003890771241	0.000197657216677372	0.00211058943876884
ADNI - Dementia	UKB - AD PRS	0.389503408936946	0.110101827712309	0.237142398149589
ADNI - Dementia	UKB - CVD PRS	-0.132074050815477	0.601382699050207	0.732118068408948
ADNI - Dementia	UKB - Stroke PRS	0.10434008593157	0.680321129647684	0.793098268139019
ADNI - Dementia	ADNI - MCI	0.763623161628952	0.000226134582725233	0.00211058943876884
